dataset,model,tuner,seed,best_loss,n_evals,elapsed,stopped,error
breast_cancer,MLP,DE,0,-0.9824561476707458,60,10.224781274795532,budget,
breast_cancer,MLP,DE,1,-0.9912281036376953,60,10.670188903808594,budget,
breast_cancer,MLP,DE,2,-0.9912281036376953,60,9.26019024848938,budget,
breast_cancer,MLP,PSO,0,-0.9824561476707458,60,10.817203283309937,budget,
breast_cancer,MLP,PSO,1,-0.9912281036376953,60,11.109648704528809,budget,
breast_cancer,MLP,PSO,2,-0.9912281036376953,60,13.257763862609863,budget,
breast_cancer,MLP,HDGPSO,0,-0.9824561476707458,60,4.7166807651519775,budget,
breast_cancer,MLP,HDGPSO,1,-0.9912281036376953,60,9.299480199813843,budget,
breast_cancer,MLP,HDGPSO,2,-1.0,60,10.30553412437439,budget,
breast_cancer,MLP,HDGPSO-MF,0,-0.9824561476707458,117,16.29367756843567,budget,
breast_cancer,MLP,HDGPSO-MF,1,-0.9912281036376953,117,9.447103261947632,budget,
breast_cancer,MLP,HDGPSO-MF,2,-0.9912281036376953,117,10.018006563186646,budget,
wine,RandomForest,RandomSearch,0,-0.9495291902071563,60,26.112913846969604,budget,
wine,RandomForest,RandomSearch,1,-0.9551789077212806,60,22.541141271591187,budget,
wine,RandomForest,RandomSearch,2,-0.9438794726930321,60,24.223016023635864,budget,
wine,RandomForest,GridSearch,0,-0.9158192090395479,4,0.22524070739746094,budget,
wine,RandomForest,GridSearch,1,-0.9216572504708097,4,0.22118115425109863,budget,
wine,RandomForest,GridSearch,2,-0.938512241054614,4,0.22582077980041504,budget,
wine,RandomForest,Bayes,0,-0.9550847457627119,60,43.835211992263794,budget,
wine,RandomForest,Bayes,1,-0.9607344632768361,60,41.83557939529419,budget,
wine,RandomForest,Bayes,2,-0.9550847457627119,60,37.957743406295776,budget,
wine,RandomForest,Optuna-TPE,0,-0.9495291902071563,60,23.663153171539307,budget,
wine,RandomForest,Optuna-TPE,1,-0.9607344632768361,60,33.31199598312378,budget,
wine,RandomForest,Optuna-TPE,2,-0.9495291902071563,60,13.486910820007324,budget,
wine,RandomForest,DE,0,-0.9495291902071563,60,26.196062326431274,budget,
wine,RandomForest,DE,1,-0.9608286252354049,60,23.447492122650146,budget,
wine,RandomForest,DE,2,-0.9439736346516008,60,23.363223791122437,budget,
wine,RandomForest,PSO,0,-0.9495291902071563,60,21.562647342681885,budget,
wine,RandomForest,PSO,1,-0.9551789077212806,60,12.629772186279297,budget,
wine,RandomForest,PSO,2,-0.9438794726930321,60,26.373382091522217,budget,
wine,RandomForest,HDGPSO,0,-0.9550847457627119,60,30.265956163406372,budget,
wine,RandomForest,HDGPSO,1,-0.9495291902071563,60,22.0892915725708,budget,
wine,RandomForest,HDGPSO,2,-0.9438794726930321,60,31.885737895965576,budget,
wine,RandomForest,HDGPSO-MF,0,-0.9495291902071563,117,21.756614685058594,budget,
wine,RandomForest,HDGPSO-MF,1,-0.9607344632768361,117,23.731624603271484,budget,
wine,RandomForest,HDGPSO-MF,2,-0.9438794726930321,117,19.458483457565308,budget,
wine,GradientBoosting,RandomSearch,0,-0.9440677966101695,60,98.51192879676819,budget,
wine,GradientBoosting,RandomSearch,1,-0.9497175141242938,60,76.86210107803345,budget,
wine,GradientBoosting,RandomSearch,2,-0.9552730696798494,60,83.87075519561768,budget,
wine,GradientBoosting,GridSearch,0,-0.9553672316384181,32,29.70672917366028,budget,
wine,GradientBoosting,GridSearch,1,-0.9552730696798494,32,30.140828847885132,budget,
wine,GradientBoosting,GridSearch,2,-0.9551789077212806,32,30.08570122718811,budget,
wine,GradientBoosting,Bayes,0,-0.9608286252354049,60,78.78192377090454,budget,
wine,GradientBoosting,Bayes,1,-0.9664783427495292,60,84.11493015289307,budget,
wine,GradientBoosting,Bayes,2,-0.9608286252354049,60,86.33533644676208,budget,
wine,GradientBoosting,Optuna-TPE,0,-0.9608286252354049,60,108.3681390285492,budget,
wine,GradientBoosting,Optuna-TPE,1,-0.9552730696798494,60,101.56844234466553,budget,
wine,GradientBoosting,Optuna-TPE,2,-0.9609227871939736,60,86.28325963020325,budget,
wine,GradientBoosting,DE,0,-0.9552730696798494,60,78.88186597824097,budget,
wine,GradientBoosting,DE,1,-0.9608286252354049,60,82.92995619773865,budget,
wine,GradientBoosting,DE,2,-0.9552730696798494,60,91.68845915794373,budget,
wine,GradientBoosting,PSO,0,-0.9551789077212806,60,71.43372893333435,budget,
wine,GradientBoosting,PSO,1,-0.949623352165725,60,84.64090728759766,budget,
wine,GradientBoosting,PSO,2,-0.949623352165725,60,90.75425887107849,budget,
wine,GradientBoosting,HDGPSO,0,-0.9719397363465161,60,83.18076586723328,budget,
wine,GradientBoosting,HDGPSO,1,-0.9609227871939736,60,49.70668816566467,budget,
wine,GradientBoosting,HDGPSO,2,-0.9608286252354049,60,75.24553084373474,budget,
wine,GradientBoosting,HDGPSO-MF,0,-0.9607344632768361,117,59.22314119338989,budget,
wine,GradientBoosting,HDGPSO-MF,1,-0.9553672316384181,117,60.785733461380005,budget,
wine,GradientBoosting,HDGPSO-MF,2,-0.9608286252354049,117,60.48353886604309,budget,
wine,MLP,RandomSearch,0,-1.0,60,2.8097898960113525,budget,
wine,MLP,RandomSearch,1,-1.0,60,3.2840254306793213,budget,
wine,MLP,RandomSearch,2,-1.0,60,3.7776505947113037,budget,
wine,MLP,GridSearch,0,-0.3333333432674408,48,3.5379960536956787,budget,
wine,MLP,GridSearch,1,-0.2777777910232544,48,3.358015775680542,budget,
wine,MLP,GridSearch,2,-0.5277777910232544,48,3.0079472064971924,budget,
wine,MLP,Bayes,0,-1.0,60,28.223747968673706,budget,
wine,MLP,Bayes,1,-1.0,60,32.287375926971436,budget,
wine,MLP,Bayes,2,-1.0,60,29.93289875984192,budget,
wine,MLP,Optuna-TPE,0,-1.0,60,3.515191078186035,budget,
wine,MLP,Optuna-TPE,1,-1.0,60,4.189737796783447,budget,
wine,MLP,Optuna-TPE,2,-1.0,60,3.376666784286499,budget,
