dataset,model,tuner,seed,best_loss,n_evals,elapsed,stopped,error,budget
breast_cancer,MLP,Optuna-TPE,0,-0.9824561476707458,20,2.445317506790161,budget,,20
breast_cancer,MLP,Optuna-TPE,1,-0.9912281036376952,20,5.209521770477295,budget,,20
breast_cancer,MLP,Optuna-TPE,2,-0.9912281036376952,20,2.6526310443878174,budget,,20
breast_cancer,MLP,DE,0,-0.9824561476707458,20,4.376687049865723,budget,,20
breast_cancer,MLP,DE,1,-0.9912281036376952,20,3.5765316486358643,budget,,20
breast_cancer,MLP,DE,2,-0.9912281036376952,20,3.2913036346435547,budget,,20
breast_cancer,MLP,PSO,0,-0.9824561476707458,20,4.518729209899902,budget,,20
breast_cancer,MLP,PSO,1,-0.9912281036376952,20,4.716597318649292,budget,,20
breast_cancer,MLP,PSO,2,-0.9912281036376952,20,4.311883449554443,budget,,20
breast_cancer,MLP,HDGPSO,0,-0.9824561476707458,20,2.254045963287353,budget,,20
breast_cancer,MLP,HDGPSO,1,-0.9912281036376952,20,4.930658578872681,budget,,20
breast_cancer,MLP,HDGPSO,2,-0.9912281036376952,20,2.8081367015838623,budget,,20
breast_cancer,MLP,HDGPSO-MF,0,-0.9824561476707458,37,4.5195276737213135,budget,,20
breast_cancer,MLP,HDGPSO-MF,1,-0.9912281036376952,37,3.9865028858184814,budget,,20
breast_cancer,MLP,HDGPSO-MF,2,-0.9912281036376952,37,2.265013694763184,budget,,20
wine,RandomForest,RandomSearch,0,-0.9495291902071564,20,10.560353517532349,budget,,20
wine,RandomForest,RandomSearch,1,-0.9495291902071564,20,8.488254070281982,budget,,20
wine,RandomForest,RandomSearch,2,-0.9383239171374764,20,9.246322631835938,budget,,20
wine,RandomForest,GridSearch,0,-0.915819209039548,4,0.2409121990203857,budget,,20
wine,RandomForest,GridSearch,1,-0.9216572504708096,4,0.2883265018463135,budget,,20
wine,RandomForest,GridSearch,2,-0.938512241054614,4,0.244570255279541,budget,,20
wine,RandomForest,Bayes,0,-0.955084745762712,20,12.199567794799805,budget,,20
wine,RandomForest,Bayes,1,-0.960734463276836,20,14.36866855621338,budget,,20
wine,RandomForest,Bayes,2,-0.943879472693032,20,10.070329666137695,budget,,20
wine,RandomForest,Optuna-TPE,0,-0.9494350282485876,20,9.9384343624115,budget,,20
wine,RandomForest,Optuna-TPE,1,-0.960734463276836,20,10.83720564842224,budget,,20
wine,RandomForest,Optuna-TPE,2,-0.9494350282485876,20,6.352579355239868,budget,,20
wine,RandomForest,DE,0,-0.9495291902071564,20,8.855897903442383,budget,,20
wine,RandomForest,DE,1,-0.9495291902071564,20,9.841330528259276,budget,,20
wine,RandomForest,DE,2,-0.9382297551789076,20,10.255208969116213,budget,,20
wine,RandomForest,PSO,0,-0.9495291902071564,20,7.02621865272522,budget,,20
wine,RandomForest,PSO,1,-0.9551789077212806,20,5.144651651382446,budget,,20
wine,RandomForest,PSO,2,-0.9382297551789076,20,10.21964430809021,budget,,20
wine,RandomForest,HDGPSO,0,-0.9495291902071564,20,7.727329969406128,budget,,20
wine,RandomForest,HDGPSO,1,-0.9495291902071564,20,8.48765254020691,budget,,20
wine,RandomForest,HDGPSO,2,-0.9326741996233522,20,9.52472186088562,budget,,20
wine,RandomForest,HDGPSO-MF,0,-0.943879472693032,37,7.087408781051636,budget,,20
wine,RandomForest,HDGPSO-MF,1,-0.9495291902071564,37,7.0190935134887695,budget,,20
wine,RandomForest,HDGPSO-MF,2,-0.9382297551789076,37,6.777562379837036,budget,,20
wine,GradientBoosting,RandomSearch,0,-0.9268361581920904,20,41.709452390670776,budget,,20
wine,GradientBoosting,RandomSearch,1,-0.9497175141242938,20,31.238471746444706,budget,,20
wine,GradientBoosting,RandomSearch,2,-0.9383239171374764,20,33.63773059844971,budget,,20
wine,GradientBoosting,GridSearch,0,-0.3988700564971751,1,0.1097941398620605,budget,,20
wine,GradientBoosting,GridSearch,1,-0.3988700564971751,1,0.1063041687011718,budget,,20
wine,GradientBoosting,GridSearch,2,-0.3988700564971751,1,0.1240279674530029,budget,,20
wine,GradientBoosting,Bayes,0,-0.932768361581921,20,26.655311584472656,budget,,20
wine,GradientBoosting,Bayes,1,-0.9608286252354048,20,28.3454909324646,budget,,20
wine,GradientBoosting,Bayes,2,-0.9552730696798494,20,35.336854219436646,budget,,20
wine,GradientBoosting,Optuna-TPE,0,-0.9440677966101696,20,28.630056142807007,budget,,20
wine,GradientBoosting,Optuna-TPE,1,-0.9439736346516008,20,32.36472010612488,budget,,20
wine,GradientBoosting,Optuna-TPE,2,-0.9552730696798494,20,32.20977830886841,budget,,20
wine,GradientBoosting,DE,0,-0.9440677966101696,20,27.18950223922729,budget,,20
wine,GradientBoosting,DE,1,-0.9552730696798494,20,31.321638584136963,budget,,20
wine,GradientBoosting,DE,2,-0.9440677966101696,20,28.347156763076782,budget,,20
wine,GradientBoosting,PSO,0,-0.9440677966101696,20,26.388936042785645,budget,,20
